"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burundi","BDI","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","6.7","6.5","6.2","6","5.8","5.7","5.3","4.9","4.8","4.7","4.5","4.2","4.1","4","3.8","3.6","3.5","3.4","3.4","","","",
"Belgium","BEL","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","12.1","12","11.6","11.2","11.4","11.8","11","11.4","11.8","12.2","12.8","11.8","11.9","12.1","11.7","11.7","11.9","11.9","11.8","","","",
"Benin","BEN","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","4.7","4.7","4.6","4.6","4.5","4.5","4.3","4.1","4.2","4.2","4.2","4.1","4.1","4.1","4","4","3.9","3.9","3.8","","","",
"Burkina Faso","BFA","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","5.1","4.9","4.8","4.8","4.7","4.7","4.6","4.5","4.4","4.3","4.1","4.2","4.2","4.1","4","3.9","3.8","3.7","3.7","","","",
"Bangladesh","BGD","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","3.2","3.1","3","2.8","2.8","2.9","2.8","2.6","2.6","2.4","2.2","2.2","2","1.8","1.8","1.7","1.6","1.6","1.7","","","",
"Bulgaria","BGR","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","9","8.5","7.6","7.2","6.7","5.9","6.4","6.7","5.6","5.9","4.5","5.6","4.3","4.9","4.5","4.5","4.8","4.3","4.4","","","",
"Bahrain","BHR","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","2.9","3.2","3.7","3.7","3.8","3.4","3.6","3.4","3.3","3.1","3","2.7","2.6","2.6","2.5","2.4","2.4","2.4","2.4","","","",
"Bahamas, The","BHS","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","1.1","0.8","0.9","1.3","1.3","1.4","1.3","1.3","1.3","1.3","1.3","1.2","1.1","1","1.1","1.1","1.1","1.2","1.3","","","",
"Bosnia and Herzegovina","BIH","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4.2","4.3","4.3","4.4","4.4","4.6","4.8","4.5","4.5","4.5","4.4","4.4","4.5","4.6","4.6","4.5","4.5","4.5","4.5","","","",
"Belarus","BLR","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9","12","12.7","12.4","12.6","12.9","12.5","11.6","11.6","12","11.2","11.5","10","9.4","8.7","8.3","8.4","8.2","8.1","7.7","","","",
"Belize","BLZ","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","1.9","2","2","2","1.6","1.7","1.5","1.4","1.7","1.8","1.8","1.6","1.5","1.5","1.4","1.4","1.5","1.5","1.7","","","",
"Bermuda","BMU","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","4.5","4.6","4.5","4.4","4.5","4.2","4.5","4.4","4.4","4.4","4.4","4.3","4.3","4.4","4.4","4.5","4.3","4.2","4.1","","","",
"Brazil","BRA","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","1.9","2.1","1.9","2","2.1","2.2","2.3","2.3","2.3","2.5","2.5","2.6","2.6","2.5","2.8","2.7","3","3.1","3","","","",
"Barbados","BRB","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.4","0.3","1.7","2","1.8","0.3","0.2","0.5","0.5","0.7","0.4","0.5","0","0.3","0.3","0.3","0.3","0.3","0.3","","","",
"Brunei Darussalam","BRN","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.3","0.4","0.4","0.8","1.1","1.4","1.6","1.3","1.3","0.7","0","0.6","1.1","1.4","0.7","0.5","0.8","0.8","0.8","","","",
"Bhutan","BTN","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.2","3.1","3","2.9","2.9","2.7","2.6","2.5","2.4","2.4","2.5","2.5","2.5","2.6","2.6","2.7","2.7","2.7","","","",
"Botswana","BWA","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3","18.1","17.3","16.6","16.6","17.7","16.2","15.5","14.3","10.1","8.5","8.8","8.3","7.9","8.6","8.3","7.8","7.5","7.3","6.4","","","",
"Central African Republic","CAF","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4","8.7","8.6","8.1","7.6","7.2","7.5","7.2","6.9","7.4","7.4","7.1","6.6","6.3","5.9","5.9","5.4","5.4","5.3","5.2","","","",
"Canada","CAN","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","5.9","5.7","6.2","6.1","6.2","5.7","6.1","6.1","5.9","6.4","6.1","6.2","6.4","6.8","6.9","6.2","6.4","6.2","6.1","","","",
"Central Europe and the Baltics","CEB","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.81506097658972","6.85076789739799","7.08556353018533","6.77900192427917","6.72177825247559","6.48895902300688","6.23379686448149","5.90659297124397","6.00327593010573","5.92598607501883","5.93063298468414","5.6212119191971","5.7050511555979","5.59642294697847","5.40450112876328","5.25915444312224","4.74002649943939","4.87091448534653","4.48871152895224","4.52211096475906","","","",
"Switzerland","CHE","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","12.2","14.1","13.2","12.6","12.6","13.4","13.5","13.4","9.3","9.2","9.2","9.3","9.3","9.7","9.5","8.4","8.9","9","9","","","",
"Channel Islands","CHI","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","2.9","3","3","3.1","3.2","3.4","4.2","4.8","5","4.4","4.2","3.8","3.6","3.5","4.1","3.4","3.2","3.2","3.2","","","",
"China","CHN","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","12.8","11.4","11.8","12.3","11.9","11.2","10.4","9.8","9.3","8.7","8.1","7.4","7","6.7","6.4","6.3","6.3","6.3","6.2","","","",
"Cote d'Ivoire","CIV","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","4.8","4.5","4.4","4","3.8","4.2","4.2","3.8","4.2","4.5","3.9","3.9","3.8","3.5","3.3","3.1","2.9","2.8","2.8","","","",
"Cameroon","CMR","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","5.9","5.7","5.7","5.6","6.1","6.2","5.8","5.7","5.7","5.5","5.4","5","5.3","5.2","4.8","4.5","4.3","4.3","4.4","","","",
"Congo, Dem. Rep.","COD","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","3.3","3.3","3.4","3.4","3.4","3.4","3.3","3.3","3.3","3.2","3.1","3","2.9","2.9","2.8","2.8","2.7","2.8","2.8","","","",
"Congo, Rep.","COG","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","7.7","7","6.7","6.9","6.8","7","6.6","6.3","6.7","6.4","5.9","6","5.3","5","4.2","4","3.9","3.6","3.5","","","",
"Colombia","COL","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","2.5","2.4","2.5","2.2","2","1.9","1.9","1.8","1.8","1.5","1.5","1.5","1.5","1.4","1.9","1.6","1.9","1.7","1.8","","","",
"Comoros","COM","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","4.6","4.5","4.4","4.2","4.1","4.1","3.9","3.9","3.8","4.1","3.9","3.9","3.8","3.9","3.9","3.9","3.8","3.8","3.8","","","",
"Cabo Verde","CPV","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","4.8","4.7","4.6","4.6","4.5","4.8","4.7","4.8","4.9","4.9","4.8","5","5","4.8","4.8","4.7","4.6","4.5","4.5","","","",
"Costa Rica","CRI","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.5","2","2.6","2.3","2","2.8","1.9","1.6","1.8","2","2.4","1.9","1.8","1.9","2.3","2.3","2.3","2.2","2","","","",
"Caribbean small states","CSS","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3421829003493","4.50070480286075","4.06613720281184","4.24779420226711","4.08737696678543","3.98787759290518","3.94016649630156","3.77846327424276","3.97937205102373","4.35592020072742","4.13463154938113","3.87835257884525","4.20451380231776","4.26799175351935","3.9199987729061","4.19311263594562","4.16792178910966","4.16571907338694","4.20761488213142","4.29201523919293","","","",
"Cuba","CUB","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","8.3","8.4","6.8","6.9","6.5","5.1","5","5.8","6.2","6.1","5.9","5.4","5.6","5.7","5.6","5.4","6.3","5.9","6","","","",
"Curacao","CUW","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","1.3","1.3","1.3","0.4","1.3","2.3","1.5","3.2","1.4","2.1","1","0.9","1.3","3.1","2.1","1.2","1","1.8","1.3","","","",
"Czechia","CZE","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","6.4","6.2","6.9","6","5.8","5.4","4.8","5.3","4.8","5.1","5.2","5.6","5.7","5.9","5","5","5.7","5.1","4.8","","","",
"Germany","DEU","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","7.7","7.9","7.7","7.2","7","6.6","6.3","6.4","6.4","6.8","6.7","7","7.2","6.9","7.3","6.8","6.6","6.8","6.2","","","",
"Djibouti","DJI","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","4.6","4.9","5","5.1","5.1","4.9","5","5.1","5.3","5.6","5.7","5.7","6","6.1","6.1","6.2","6.4","6.5","6.4","","","",
"Dominica","DMA","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","10","9.4","7.7","9.6","9.5","9.4","8.8","9","6.5","7.2","7.1","6.9","6.9","6.7","7.2","6.1","7.1","7","6.5","","","",
"Dominican Republic","DOM","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","1.4","1.6","1.7","1.8","1.8","1.6","1.7","1.7","1.8","1.7","1.8","1.9","2","2.2","2.4","2.3","2.1","2","1.8","","","",
